Representativt dygn;Nederbördsmängd
25/01/2015;0.1
26/01/2015;8.3
27/01/2015;0.0
28/01/2015;6.6
29/01/2015;0.3
30/01/2015;0.3
31/01/2015;1.6
01/02/2015;0.8
02/02/2015;1.0
03/02/2015;0.0
04/02/2015;0.0
05/02/2015;0.0
06/02/2015;0.2
07/02/2015;0.0
08/02/2015;0.3
09/02/2015;0.0
10/02/2015;0.0
11/02/2015;0.0
12/02/2015;0.0
13/02/2015;0.0
14/02/2015;0.0
15/02/2015;0.0
16/02/2015;0.0
17/02/2015;0.0
18/02/2015;0.0
19/02/2015;0.0
20/02/2015;6.8
21/02/2015;4.5
22/02/2015;0.0
23/02/2015;2.5
24/02/2015;0.5
25/02/2015;0.0
26/02/2015;0.0
27/02/2015;0.0
28/02/2015;0.0
01/03/2015;3.3
02/03/2015;2.7
03/03/2015;1.3
04/03/2015;0.2
05/03/2015;0.0
06/03/2015;3.6
07/03/2015;0.0
08/03/2015;0.0
09/03/2015;0.2
10/03/2015;0.0
11/03/2015;0.0
12/03/2015;0.0
13/03/2015;0.0
14/03/2015;0.0
15/03/2015;0.0
16/03/2015;0.0
17/03/2015;0.0
18/03/2015;0.0
19/03/2015;0.0
20/03/2015;2.7
21/03/2015;1.6
22/03/2015;0.0
23/03/2015;0.2
24/03/2015;0.0
25/03/2015;0.0
26/03/2015;0.4
27/03/2015;0.0
28/03/2015;9.4
29/03/2015;24.6
30/03/2015;2.5
31/03/2015;5.1
01/04/2015;0.4
02/04/2015;0.0
03/04/2015;0.0
04/04/2015;1.3
05/04/2015;0.0
06/04/2015;0.0
07/04/2015;0.0
08/04/2015;0.0
09/04/2015;0.0
10/04/2015;0.0
11/04/2015;3.9
12/04/2015;8.0
13/04/2015;0.0
14/04/2015;6.3
15/04/2015;0.4
16/04/2015;0.0
17/04/2015;3.3
18/04/2015;0.0
19/04/2015;0.0
20/04/2015;0.0
21/04/2015;0.0
22/04/2015;0.0
23/04/2015;0.0
24/04/2015;0.0
25/04/2015;2.9
26/04/2015;2.6
27/04/2015;0.0
28/04/2015;0.0
29/04/2015;0.0
30/04/2015;0.7
01/05/2015;2.0
02/05/2015;0.0
03/05/2015;6.5
04/05/2015;0.5
05/05/2015;7.5
06/05/2015;0.0
07/05/2015;0.6
08/05/2015;0.0
09/05/2015;2.2
10/05/2015;0.6
11/05/2015;0.0
12/05/2015;4.0
13/05/2015;3.6
14/05/2015;0.0
15/05/2015;0.0
16/05/2015;3.0
17/05/2015;4.7
18/05/2015;7.2
19/05/2015;1.2
20/05/2015;0.0
21/05/2015;0.0
22/05/2015;1.1
23/05/2015;0.0
24/05/2015;0.0
25/05/2015;0.3
26/05/2015;0.1
27/05/2015;0.0
28/05/2015;0.2
29/05/2015;2.3
30/05/2015;2.5
31/05/2015;9.4
01/06/2015;0.0
02/06/2015;6.4
03/06/2015;0.0
04/06/2015;0.0
05/06/2015;0.0
06/06/2015;0.0
07/06/2015;0.0
08/06/2015;0.0
09/06/2015;1.4
10/06/2015;0.0
11/06/2015;0.0
12/06/2015;0.0
13/06/2015;2.0
14/06/2015;0.0
15/06/2015;0.0
16/06/2015;0.0
17/06/2015;11.7
18/06/2015;4.3
19/06/2015;3.9
20/06/2015;4.4
21/06/2015;1.9
22/06/2015;6.2
23/06/2015;0.2
24/06/2015;0.0
25/06/2015;0.0
26/06/2015;0.3
27/06/2015;0.1
28/06/2015;2.2
29/06/2015;0.0
30/06/2015;0.0
01/07/2015;0.0
02/07/2015;0.0
03/07/2015;0.0
04/07/2015;0.0
05/07/2015;6.5
06/07/2015;0.0
07/07/2015;2.2
08/07/2015;1.3
09/07/2015;6.1
10/07/2015;0.0
11/07/2015;0.0
12/07/2015;1.0
13/07/2015;0.2
14/07/2015;0.0
15/07/2015;0.0
16/07/2015;0.0
17/07/2015;0.4
18/07/2015;0.0
19/07/2015;4.1
20/07/2015;0.0
21/07/2015;0.8
22/07/2015;0.0
23/07/2015;0.0
24/07/2015;0.0
25/07/2015;10.0
26/07/2015;0.0
27/07/2015;0.4
28/07/2015;2.3
29/07/2015;0.0
30/07/2015;0.9
31/07/2015;0.0
01/08/2015;0.0
02/08/2015;0.0
03/08/2015;0.0
04/08/2015;19.7
05/08/2015;0.0
06/08/2015;0.0
07/08/2015;0.4
08/08/2015;0.9
09/08/2015;0.0
10/08/2015;0.0
11/08/2015;18.3
12/08/2015;0.0
13/08/2015;0.0
14/08/2015;0.0
15/08/2015;0.0
16/08/2015;0.0
17/08/2015;0.0
18/08/2015;0.0
19/08/2015;0.0
20/08/2015;0.0
21/08/2015;0.0
22/08/2015;0.0
23/08/2015;0.0
24/08/2015;5.6
25/08/2015;1.4
26/08/2015;0.0
27/08/2015;8.9
28/08/2015;2.5
29/08/2015;0.0
30/08/2015;0.5
31/08/2015;2.6
01/09/2015;0.0
02/09/2015;0.0
03/09/2015;4.4
04/09/2015;13.2
05/09/2015;23.0
06/09/2015;0.1
07/09/2015;0.0
08/09/2015;0.0
09/09/2015;0.0
10/09/2015;0.0
11/09/2015;0.0
12/09/2015;0.0
13/09/2015;0.8
14/09/2015;9.0
15/09/2015;3.7
16/09/2015;5.7
17/09/2015;0.9
18/09/2015;0.0
19/09/2015;0.0
20/09/2015;8.7
21/09/2015;1.5
22/09/2015;1.8
23/09/2015;1.3
24/09/2015;0.6
25/09/2015;2.7
26/09/2015;0.0
27/09/2015;0.0
28/09/2015;0.0
29/09/2015;0.0
30/09/2015;0.0
01/10/2015;0.0
02/10/2015;0.0
03/10/2015;0.0
04/10/2015;0.0
05/10/2015;0.0
06/10/2015;0.0
07/10/2015;0.0
08/10/2015;0.0
09/10/2015;0.0
10/10/2015;0.0
11/10/2015;0.1
12/10/2015;0.1
13/10/2015;8.5
14/10/2015;0.4
15/10/2015;0.0
16/10/2015;2.0
17/10/2015;2.6
18/10/2015;0.3
19/10/2015;0.0
20/10/2015;0.0
21/10/2015;2.0
22/10/2015;0.6
23/10/2015;0.0
24/10/2015;0.5
25/10/2015;0.0
26/10/2015;0.0
27/10/2015;0.0
28/10/2015;0.0
29/10/2015;0.0
30/10/2015;0.0
31/10/2015;0.0
01/11/2015;0.0
02/11/2015;0.5
03/11/2015;0.0
04/11/2015;0.0
05/11/2015;3.9
06/11/2015;5.3
07/11/2015;12.0
08/11/2015;6.1
09/11/2015;4.9
10/11/2015;2.2
11/11/2015;7.3
12/11/2015;0.0
13/11/2015;1.9
14/11/2015;0.1
15/11/2015;0.3
16/11/2015;4.3
17/11/2015;16.4
18/11/2015;11.4
19/11/2015;7.8
20/11/2015;0.9
21/11/2015;13.3
22/11/2015;18.0
23/11/2015;1.2
24/11/2015;11.2
25/11/2015;6.7
26/11/2015;0.0
27/11/2015;0.3
28/11/2015;9.1
29/11/2015;8.5
30/11/2015;2.3
01/12/2015;0.5
02/12/2015;1.0
03/12/2015;7.3
04/12/2015;1.7
05/12/2015;0.0
06/12/2015;0.2
07/12/2015;0.0
08/12/2015;4.7
09/12/2015;0.0
10/12/2015;2.5
11/12/2015;1.2
12/12/2015;5.7
13/12/2015;0.3
14/12/2015;5.2
15/12/2015;0.0
16/12/2015;2.7
17/12/2015;1.1
18/12/2015;0.6
19/12/2015;1.2
20/12/2015;0.0
21/12/2015;2.7
22/12/2015;9.6
23/12/2015;3.0
24/12/2015;0.7
25/12/2015;9.0
26/12/2015;19.8
27/12/2015;5.2
28/12/2015;0.0
29/12/2015;0.0
30/12/2015;0.0
31/12/2015;2.5
01/01/2016;0.0
02/01/2016;0.0
03/01/2016;0.0
04/01/2016;0.0
05/01/2016;1.3
06/01/2016;0.0
07/01/2016;0.8
08/01/2016;2.5
09/01/2016;0.0
10/01/2016;2.4
11/01/2016;0.8
12/01/2016;3.1
13/01/2016;1.0
14/01/2016;4.0
15/01/2016;0.0
16/01/2016;0.0
