Representativt dygn;Lufttemperatur
25/01/2015;-0.3
26/01/2015;1.7
27/01/2015;2.6
28/01/2015;2.5
29/01/2015;2.4
30/01/2015;1.5
31/01/2015;1.3
01/02/2015;1.3
02/02/2015;-1.0
03/02/2015;-3.3
04/02/2015;-2.0
05/02/2015;-1.3
06/02/2015;-2.0
07/02/2015;3.6
08/02/2015;1.7
09/02/2015;4.1
10/02/2015;3.9
11/02/2015;2.2
12/02/2015;1.5
13/02/2015;0.3
14/02/2015;0.8
15/02/2015;2.7
16/02/2015;1.6
17/02/2015;1.2
18/02/2015;4.2
19/02/2015;2.0
20/02/2015;2.9
21/02/2015;3.9
22/02/2015;3.3
23/02/2015;2.8
24/02/2015;4.1
25/02/2015;2.8
26/02/2015;2.4
27/02/2015;3.2
28/02/2015;2.7
01/03/2015;3.2
02/03/2015;3.3
03/03/2015;3.7
04/03/2015;2.9
05/03/2015;3.4
06/03/2015;4.9
07/03/2015;6.5
08/03/2015;6.9
09/03/2015;6.8
10/03/2015;7.0
11/03/2015;6.6
12/03/2015;3.3
13/03/2015;3.4
14/03/2015;3.7
15/03/2015;4.2
16/03/2015;6.5
17/03/2015;6.9
18/03/2015;6.6
19/03/2015;5.3
20/03/2015;3.2
21/03/2015;2.8
22/03/2015;-0.3
23/03/2015;4.6
24/03/2015;5.2
25/03/2015;4.6
26/03/2015;5.8
27/03/2015;4.6
28/03/2015;4.9
29/03/2015;7.6
30/03/2015;5.9
31/03/2015;3.7
01/04/2015;4.7
02/04/2015;4.0
03/04/2015;4.8
04/04/2015;3.0
05/04/2015;3.6
06/04/2015;5.1
07/04/2015;6.4
08/04/2015;9.1
09/04/2015;8.0
10/04/2015;8.7
11/04/2015;12.4
12/04/2015;9.1
13/04/2015;6.0
14/04/2015;6.6
15/04/2015;10.5
16/04/2015;7.7
17/04/2015;6.9
18/04/2015;7.1
19/04/2015;8.1
20/04/2015;11.3
21/04/2015;10.7
22/04/2015;10.6
23/04/2015;10.7
24/04/2015;10.0
25/04/2015;10.0
26/04/2015;7.7
27/04/2015;7.9
28/04/2015;7.7
29/04/2015;9.3
30/04/2015;9.0
01/05/2015;7.0
02/05/2015;9.3
03/05/2015;8.0
04/05/2015;12.1
05/05/2015;13.2
06/05/2015;12.7
07/05/2015;10.5
08/05/2015;10.2
09/05/2015;9.1
10/05/2015;9.5
11/05/2015;10.1
12/05/2015;12.1
13/05/2015;10.4
14/05/2015;11.8
15/05/2015;12.1
16/05/2015;9.3
17/05/2015;9.7
18/05/2015;9.4
19/05/2015;11.2
20/05/2015;11.5
21/05/2015;11.2
22/05/2015;10.8
23/05/2015;11.7
24/05/2015;11.4
